Id,Tên trường,Loại hình cơ sở đào tạo,Loại trường,Cơ quan quản lý trực tiếp,Ký hiệu,Tên tiếng Anh,Website,"Tỉnh, thành phố",Được kiểm định bởi tổ chức kiểm định chất lượng giáo dục,Ngày cấp giấy chứng nhận kiểm định chất lượng,Ngày hết hạn giá trị của giấy chứng nhận kiểm định chất lượng
749,TRƯỜNG ĐẠI HỌC VINH,Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,TDV,Vinh University,http://vinhuni.edu.vn/,Nghệ An,VNU-CEA,09/06/2017,09/06/2022
895,TRƯỜNG ĐẠI HỌC VÕ TRƯỜNG TOẢN,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,VTT,Vo Truong Toan University,http://www.vttu.edu.vn/,Hậu Giang,VU-CEA,15/08/2021,15/08/2026
827,TRƯỜNG ĐẠI HỌC XÂY DỰNG HÀ NỘI,Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,XDA,Hanoi University of Civil Engineering,https://www.nuce.edu.vn/,Hà Nội,HCERES,06/12/2017,06/12/2022
698,TRƯỜNG ĐẠI HỌC XÂY DỰNG MIỀN TÂY,Trường đại học,Công lập,Bộ Xây dựng,MTU,Mien Tay Construction University,http://www.mtu.edu.vn/,Vĩnh Long,CEA-UD,25/05/2018,24/05/2023
892,TRƯỜNG ĐẠI HỌC XÂY DỰNG MIỀN TRUNG,Trường đại học,Công lập,Bộ Xây dựng,XDT,MienTrung University of Civil Engineering,http://muce.edu.vn/,Phú Yên,CEA-UD,22/02/2021,22/02/2026
723,TRƯỜNG ĐẠI HỌC Y DƯỢC - ĐẠI HỌC QUỐC GIA HÀ NỘI,Trường đại học,Công lập,,QHY,VNU University of Medicine and Pharmacy,http://ump.vnu.edu.vn/,Hà Nội,,,
840,TRƯỜNG ĐẠI HỌC Y DƯỢC BUÔN MA THUỘT,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,BMU,Buon Ma Thuot University,https://bmtu.edu.vn/,Đắk Lắk,CEA-AVU&C,26/05/2021,26/05/2026
873,TRƯỜNG ĐẠI HỌC Y DƯỢC CẦN THƠ,Trường đại học,Công lập,Bộ Y tế,YCT,Can Tho University of Medicine - Pharmacy,http://www.ctump.edu.vn/,Cần Thơ,CEA-UD,06/02/2018,06/01/2023
874,TRƯỜNG ĐẠI HỌC Y DƯỢC HẢI PHÒNG,Trường đại học,Công lập,Bộ Y tế,YPB,Hai Phong Medical University,http://hpmu.edu.vn/hpmu/,Hải Phòng,CEA-AVU&C,30/06/2018,30/06/2023
717,TRƯỜNG ĐẠI HỌC Y DƯỢC THÁI BÌNH,Trường đại học,Công lập,Bộ Y tế,YTB,Thai Binh Medical University,http://tbump.edu.vn/,Thái Bình,CEA-AVU&C,29/06/2018,29/06/2023
707,"TRƯỜNG ĐẠI HỌC Y DƯỢC, ĐẠI HỌC HUẾ",Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,DHY,"University of Medicine and Pharmacy, Hue University",https://huemed-univ.edu.vn/,Thừa Thiên Huế,VNU-CEA,27/03/2017,27/03/2022
918,"TRƯỜNG ĐẠI HỌC Y DƯỢC, ĐẠI HỌC THÁI NGUYÊN",Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,DTY,University of Medicine and Pharmacy - Thai Nguyen University,http://tump.edu.vn/,Thái Nguyên,VNU-CEA,25/12/2017,25/12/2022
876,TRƯỜNG ĐẠI HỌC Y HÀ NỘI,Trường đại học,Công lập,Bộ Y tế,YHB,Hanoi Medical University,https://hmu.edu.vn/,Hà Nội,VNU-CEA,31/08/2017,31/08/2022
718,TRƯỜNG ĐẠI HỌC Y KHOA PHẠM NGỌC THẠCH,Trường đại học,Công lập,UBND TP. Hồ Chí Minh,TYS,Pham Ngoc Thach University of Medicine,https://www.pnt.edu.vn/,TP. Hồ Chí Minh,VNU-HCM CEA,10/01/2023,10/01/2028
877,TRƯỜNG ĐẠI HỌC Y KHOA TOKYO VIỆT NAM,Trường đại học,Nước ngoài,Nước ngoài,THU,Tokyo Human Health Sciences University Vietnam,https://tokyo-human.edu.vn/,Hưng Yên,,,
719,TRƯỜNG ĐẠI HỌC Y KHOA VINH,Trường đại học,Công lập,UBND tỉnh Nghệ An,YKV,Vinh Medical University,http://www.vmu.edu.vn/,Nghệ An,CEA-AVU&C,26/05/2021,26/05/2026
878,TRƯỜNG ĐẠI HỌC Y TẾ CÔNG CỘNG,Trường đại học,Công lập,Bộ Y tế,YTC,Hanoi University of Public Health,https://huph.edu.vn/,Hà Nội,CEA-AVU&C,27/11/2017,27/11/2022
960,TRƯỜNG ĐẠI HỌC YERSIN ĐÀ LẠT,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DYD,Yersin University,https://yersin.edu.vn/,Lâm Đồng,CEA-AVU&C,16/11/2020,16/11/2025
797,"TRƯỜNG ĐẠI HỌC KINH TẾ, ĐẠI HỌC ĐÀ NẴNG",Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,DDQ,University of Economics - The University of Da Nang,https://due.udn.vn,Đà Nẵng,VNU-CEA,14/10/2016,14/10/2021
798,"TRƯỜNG ĐẠI HỌC NGOẠI NGỮ, ĐẠI HỌC ĐÀ NẴNG",Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,DDF,University of Foreign Language Studies - The University of Da Nang,http://ufl.udn.vn/,Đà Nẵng,VNU-CEA,14/10/2016,14/10/2021
799,"TRƯỜNG ĐẠI HỌC SƯ PHẠM KỸ THUẬT, ĐẠI HỌC ĐÀ NẴNG",Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,DDC,University of Technology and Education - The University of Da Nang,https://ute.udn.vn/,Đà Nẵng,,,
990,Viện Công nghiệp thực phẩm,Viện nghiên cứu,Công lập,Bộ Công Thương,V08,Food Industry Research Institute,https://firi.vn/,Hà Nội,,,
989,Viện Cơ điện Nông nghiệp và Công nghệ sau thu hoạch,Viện nghiên cứu,Công lập,Bộ Nông nghiệp và Phát triển nông thôn,VCD,Vietnam Institute Of Agricultural Engineering And Post-Harvest Technology,http://www.viaep.org.vn/,Hà Nội,,,
987,Viện Chăn nuôi,Viện nghiên cứu,Công lập,Bộ Nông nghiệp và Phát triển nông thôn,VCN,National Institute of Animal Sciences,http://vcn.mard.gov.vn/,Hà Nội,,,
988,Viện Chiến lược phát triển,Viện nghiên cứu,Công lập,Bộ Kế hoạch và Đầu tư,V19,Vietnam Institute for Development Strategies,http://vids.mpi.gov.vn/,Hà Nội,,,
991,Viện Dầu khí Việt Nam,Viện nghiên cứu,Công lập,Tập đoàn Dầu khí Quốc gia Việt Nam,VDK,Vietnam Petroleum Institute - VPI,http://www.vpi.pvn.vn/,Hà Nội,,,
992,Viện Dinh dưỡng,Viện nghiên cứu,Công lập,Bộ Y tế,V66,National Institute of Nutrition,http://viendinhduong.vn/,Hà Nội,,,
993,Viện Dược liệu,Viện nghiên cứu,Công lập,Bộ Y tế,V22,National Institute of Medical Materials,http://vienduoclieu.org.vn/,Hà Nội,,,
994,Viện Hoá học công nghiệp,Viện nghiên cứu,Công lập,Bộ Công Thương,V11,Vietnam Institute of Industry Chemistry,http://viic.vn/,Hà Nội,,,
1006,Viện Kiểm nghiệm thuốc Trung ương,Viện nghiên cứu,Công lập,Bộ Y tế,NQC,National Institute of Drug Quality Control,https://nidqc.gov.vn/,Hà Nội,,,
1007,Viện Kiến trúc Quốc gia,Viện nghiên cứu,Công lập,Bộ Xây dựng,V12,Vietnam Institute of Architecture,http://vienkientrucquocgia.gov.vn/,Hà Nội,,,
995,Viện Khoa học công nghệ xây dựng,Viện nghiên cứu,Công lập,Bộ Xây dựng,V14,Vietnam Institute for Building Science and Technology,http://www.ibst.vn/,Hà Nội,,,
996,Viện Khoa học Địa chất và Khoáng sản,Viện nghiên cứu,Công lập,Bộ Tài nguyên và Môi trường,V47,Vietnam Institute of Geosciences and Mineral Resources,https://vigmr.vn,Hà Nội,,,
997,Viện Khoa học Đo đạc và Bản đồ,Viện nghiên cứu,Công lập,Bộ Tài nguyên và Môi trường,KBD,Vietnam Institute of Geodesy and Cartography,http://www.vigac.vn/,Hà Nội,,,
998,Viện Khoa học Giáo dục Việt nam,Viện nghiên cứu,Công lập,Bộ Giáo dục và Đào tạo,V46,The Vietnam National Institute of Education Sciences,http://www.vnies.edu.vn/,Hà Nội,,,
999,Viện Khoa học Khí tượng Thủy văn và Biến đổi khí hậu,Viện nghiên cứu,Công lập,Bộ Tài nguyên và Môi trường,V50,"Vietnam Institute of Meteorology, Hydrology and Climate Change",http://www.imh.ac.vn/,Hà Nội,,,
1000,Viện Khoa học Lâm nghiệp Việt Nam,Viện nghiên cứu,Công lập,Bộ Nông nghiệp và Phát triển nông thôn,VLN,Vietnamese Academy of Forest Sciences,http://vafs.gov.vn/,Hà Nội,,,
1001,Viện Khoa học Nông nghiệp Việt Nam,Viện nghiên cứu,Công lập,Bộ Nông nghiệp và Phát triển nông thôn,VKN,Vietnam Academy of Agriculture Sciences,https://vaas.vn/,Hà Nội,,,
1002,Viện Khoa học Thể dục thể thao,Viện nghiên cứu,Công lập,"Bộ Văn hóa, Thể thao và Du lịch",VKT,Vietnam Sport Science Institute,http://vkhtdtt.vn/,Hà Nội,,,
